traj,t
0,0.63
1,0.52
2,1.28
3,0.87
4,0.51
5,1.48
6,0.65
7,0.87
8,0.51
9,0.63
10,0.56
11,0.52
12,0.56
13,0.8200000000000001
14,1.06
15,0.51
16,0.51
17,0.53
18,0.56
19,0.91
20,1.2
21,0.78
22,0.61
23,0.53
24,0.61
25,1.17
26,0.72
27,1.06
28,0.51
29,0.55
30,0.78
31,0.55
32,0.51
33,0.51
34,0.59
35,0.51
36,0.51
37,0.51
38,0.64
39,0.51
40,0.99
41,0.55
42,1.29
43,0.6
44,0.64
45,0.64
46,0.55
47,0.59
48,0.73
49,0.89
50,0.6900000000000001
51,1.27
52,2.0100000000000002
53,0.51
54,1.04
55,0.54
56,1.87
57,0.51
58,0.53
59,0.54
60,0.55
61,0.52
62,0.52
63,0.84
64,1.98
65,0.53
66,0.61
67,0.87
68,0.6900000000000001
69,0.54
70,0.51
71,0.53
72,0.51
73,0.51
74,0.58
75,0.56
76,0.8200000000000001
77,0.6900000000000001
78,0.67
79,0.6
80,0.5700000000000001
81,0.73
82,0.59
83,0.88
84,0.5700000000000001
85,0.6900000000000001
86,0.61
87,0.68
88,0.73
89,0.85
90,0.52
91,1.1500000000000001
92,0.5700000000000001
93,1.0
94,0.52
95,1.26
96,0.92
97,0.52
98,0.81
99,0.64
100,0.9500000000000001
101,0.56
102,0.9500000000000001
103,0.51
104,0.55
105,0.53
106,0.53
107,0.54
108,0.52
109,0.51
110,0.89
111,0.55
112,0.51
113,0.56
114,1.03
115,1.01
116,0.52
117,0.71
118,0.96
119,0.56
120,0.56
121,0.51
122,0.9500000000000001
123,1.03
124,0.8
125,0.72
126,0.6
127,0.54
128,0.51
129,1.45
130,0.67
131,0.51
132,0.62
133,0.63
134,0.51
135,0.51
136,0.55
137,0.56
138,0.67
139,0.5700000000000001
140,0.55
141,0.56
142,0.61
143,0.7000000000000001
144,0.7000000000000001
145,0.66
146,0.52
147,0.68
148,0.54
149,0.53
150,0.68
151,0.6900000000000001
152,1.37
153,0.79
154,0.5700000000000001
155,0.61
156,0.6
157,0.51
158,0.9500000000000001
159,0.8
160,0.68
161,0.77
162,0.52
163,1.18
164,0.58
165,0.55
166,0.74
167,0.73
168,0.76
169,0.51
170,0.54
171,0.55
172,1.29
173,0.71
174,0.56
175,0.79
176,0.77
177,0.56
178,1.2
179,0.72
180,0.67
181,0.5700000000000001
182,0.8200000000000001
183,0.64
184,1.61
185,0.8300000000000001
186,1.9000000000000001
187,0.6
188,1.61
189,0.54
190,0.73
191,0.64
192,0.81
193,1.27
194,1.08
195,0.51
196,0.96
197,0.65
198,0.63
199,1.25
200,0.58
201,0.68
202,1.22
203,0.66
204,1.12
205,0.84
206,0.7000000000000001
207,0.66
208,0.65
209,0.76
210,0.52
211,0.52
212,0.51
213,0.62
214,0.87
215,0.51
216,0.51
217,0.51
218,0.92
219,0.5700000000000001
220,0.64
221,0.79
222,0.6
223,0.55
224,0.61
225,0.7000000000000001
226,0.53
227,0.58
228,0.51
229,0.51
230,0.5700000000000001
231,0.96
232,0.66
233,0.52
234,0.51
235,0.51
236,1.48
237,0.51
238,0.51
239,0.55
240,0.52
241,0.61
242,0.65
243,0.51
244,0.52
245,0.54
246,0.54
247,0.64
248,0.93
249,1.19
250,0.5700000000000001
251,0.65
252,0.55
253,0.6
254,0.71
255,0.55
256,0.51
257,0.66
258,0.52
259,0.67
260,0.52
261,2.86
262,0.7000000000000001
263,0.76
264,0.54
265,1.09
266,0.54
267,0.51
268,0.52
269,0.51
270,0.62
271,0.53
272,0.52
273,0.51
274,0.72
275,0.51
276,0.63
277,0.91
278,1.29
279,0.88
280,0.52
281,0.61
282,0.52
283,0.51
284,1.1
285,0.85
286,0.53
287,0.55
288,0.53
289,1.34
290,0.72
291,0.51
292,0.75
293,0.67
294,0.52
295,0.92
296,0.56
297,0.53
298,0.59
299,2.0
300,0.54
301,0.58
302,0.79
303,0.61
304,1.1500000000000001
305,0.75
306,0.5700000000000001
307,0.6
308,0.56
309,0.56
310,0.72
311,0.51
312,0.72
313,0.53
314,0.86
315,0.6900000000000001
316,0.53
317,0.6900000000000001
318,0.55
319,0.53
320,0.72
321,0.52
322,0.79
323,1.02
324,0.5700000000000001
325,0.51
326,0.62
327,0.54
328,0.55
329,0.51
330,0.56
331,0.76
332,0.54
333,0.8
334,0.51
335,0.65
336,1.23
337,1.12
338,0.61
339,0.89
340,1.93
341,0.54
342,0.56
343,1.02
344,0.52
345,0.53
346,0.55
347,0.72
348,0.8
349,0.53
350,1.02
351,0.6900000000000001
352,0.51
353,0.52
354,0.51
355,0.51
356,0.51
357,0.58
358,0.51
359,0.68
360,0.5700000000000001
361,0.51
362,1.4000000000000001
363,0.52
364,0.51
365,0.52
366,0.72
367,0.51
368,0.53
369,0.8200000000000001
370,0.68
371,0.52
372,0.64
373,0.52
374,1.04
375,0.87
376,0.59
377,0.68
378,0.51
379,0.6
380,0.51
381,2.09
382,0.64
383,0.7000000000000001
384,0.51
385,0.61
386,0.55
387,0.64
388,1.09
389,0.56
390,0.72
391,0.51
392,0.6900000000000001
393,0.51
394,0.52
395,0.75
396,0.51
397,0.55
398,0.8300000000000001
399,0.93
400,1.05
401,0.52
402,0.63
403,0.9500000000000001
404,0.53
405,1.1300000000000001
406,0.63
407,0.61
408,0.55
409,0.67
410,0.68
411,0.52
412,1.44
413,0.65
414,0.52
415,0.52
416,1.06
417,0.92
418,1.24
419,0.93
420,0.59
421,0.52
422,0.66
423,1.06
424,0.8300000000000001
425,0.59
426,1.43
427,0.52
428,0.5700000000000001
429,0.51
430,0.55
431,0.51
432,2.0300000000000002
433,1.18
434,0.51
435,0.55
436,0.61
437,0.61
438,0.53
439,0.51
440,0.65
441,0.51
442,1.0
443,0.52
444,0.61
445,0.9500000000000001
446,0.87
447,2.0
448,0.75
449,1.26
450,1.25
451,0.54
452,0.59
453,0.63
454,0.51
455,0.77
456,0.51
457,0.53
458,1.06
459,0.61
460,0.51
461,0.6900000000000001
462,0.53
463,1.4000000000000001
464,0.54
465,0.6
466,0.52
467,0.51
468,0.8200000000000001
469,0.54
470,0.53
471,0.58
472,0.63
473,0.67
474,0.52
475,1.02
476,0.51
477,0.78
478,0.88
479,0.88
480,0.76
481,0.52
482,0.51
483,1.0
484,0.98
485,0.64
486,0.5700000000000001
487,0.51
488,0.66
489,0.61
490,1.06
491,0.54
492,0.52
493,0.58
494,0.54
495,0.53
496,1.05
497,1.01
498,0.54
499,1.4000000000000001
